symbol,name,exchange,is_etf,is_leveraged_etf,asset_type
A,"Agilent Technologies, Inc. Common Stock",NYSE,False,False,common_stock
AA,Alcoa Corporation Common Stock,NYSE,False,False,common_stock
AACG,"ATA Creativity Global - American Depositary Shares, each representing two common shares",NASDAQ,False,False,common_stock
AACI,Armada Acquisition Corp. III - Class A Ordinary Share,NASDAQ,False,False,common_stock
AACO,Abony Acquisition Corp. I - Class A Ordinary Share,NASDAQ,False,False,common_stock
AAL,"American Airlines Group, Inc. - Common Stock",NASDAQ,False,False,common_stock
AAMI,Acadian Asset Management Inc. Common Stock,NYSE,False,False,common_stock
AAOI,"Applied Optoelectronics, Inc. - Common Stock",NASDAQ,False,False,common_stock
AAON,"AAON, Inc. - Common Stock",NASDAQ,False,False,common_stock
AAP,Advance Auto Parts Inc.,NYSE,False,False,common_stock
AAPG,Ascentage Pharma Group International - American Depository Shares,NASDAQ,False,False,common_stock
AAPL,Apple Inc. - Common Stock,NASDAQ,False,False,common_stock
AARD,"Aardvark Therapeutics, Inc. - Common Stock",NASDAQ,False,False,common_stock
AAT,"American Assets Trust, Inc. Common Stock",NYSE,False,False,common_stock
AAUC,Allied Gold Corporation Common Shares,NYSE,False,False,common_stock
ABAT,American Battery Technology Company - Common Stock,NASDAQ,False,False,common_stock
ABBV,AbbVie Inc. Common Stock,NYSE,False,False,common_stock
ABCB,Ameris Bancorp Common Stock,NYSE,False,False,common_stock
ABCL,AbCellera Biologics Inc. - Common Shares,NASDAQ,False,False,common_stock
ABEO,Abeona Therapeutics Inc. - Common Stock,NASDAQ,False,False,common_stock
ABEV,Ambev S.A. American Depositary Shares (Each representing 1 Common Share),NYSE,False,False,common_stock
ABG,Asbury Automotive Group Inc Common Stock,NYSE,False,False,common_stock
ABM,ABM Industries Incorporated Common Stock,NYSE,False,False,common_stock
ABNB,"Airbnb, Inc. - Class A Common Stock",NASDAQ,False,False,common_stock
ABOS,"Acumen Pharmaceuticals, Inc. - Common Stock",NASDAQ,False,False,common_stock
ABR,Arbor Realty Trust Common Stock,NYSE,False,False,common_stock
ABSI,Absci Corporation - Common Stock,NASDAQ,False,False,common_stock
ABT,Abbott Laboratories Common Stock,NYSE,False,False,common_stock
ABTC,American Bitcoin Corp. - Class A Common Stock,NASDAQ,False,False,common_stock
ABTS,Abits Group Inc - Ordinary Shares,NASDAQ,False,False,common_stock
ABUS,Arbutus Biopharma Corporation - Common Stock,NASDAQ,False,False,common_stock
ABVC,"ABVC BioPharma, Inc. - Common Stock",NASDAQ,False,False,common_stock
ABVX,Abivax SA - American Depositary Shares,NASDAQ,False,False,common_stock
ABX,"Abacus Global Management, Inc. Class A Common Stock",NYSE,False,False,common_stock
ABXL,"Abacus Global Management, Inc. 9.875% Fixed Rate Senior Notes due 2028",NYSE,False,False,common_stock
ACA,"Arcosa, Inc. Common Stock",NYSE,False,False,common_stock
ACAA,Averin Capital Acquisition Corp. - Class A Ordinary Shares,NASDAQ,False,False,common_stock
ACAD,ACADIA Pharmaceuticals Inc. - Common Stock,NASDAQ,False,False,common_stock
ACB,Aurora Cannabis Inc. - Common Shares,NASDAQ,False,False,common_stock
ACCL,Acco Group Holdings Limited - Class A Ordinary Shares,NASDAQ,False,False,common_stock
ACCO,Acco Brands Corporation Common Stock,NYSE,False,False,common_stock
ACCS,ACCESS Newswire Inc. Common Stock,AMEX,False,False,common_stock
ACDC,ProFrac Holding Corp. - Class A Common Stock,NASDAQ,False,False,common_stock
ACEL,"Accel Entertainment, Inc.",NYSE,False,False,common_stock
ACET,"Adicet Bio, Inc. - Common Stock",NASDAQ,False,False,common_stock
ACFN,"Acorn Energy, Inc. - Common Stock",NASDAQ,False,False,common_stock
ACGL,Arch Capital Group Ltd. - Common Stock,NASDAQ,False,False,common_stock
ACH,"Accendra Health, Inc. Common Stock",NYSE,False,False,common_stock
ACHC,"Acadia Healthcare Company, Inc. - Common Stock",NASDAQ,False,False,common_stock
ACHR,Archer Aviation Inc. Class A Common Stock,NYSE,False,False,common_stock
ACHV,"Achieve Life Sciences, Inc.  - Common Shares",NASDAQ,False,False,common_stock
ACI,"Albertsons Companies, Inc. Class A Common Stock",NYSE,False,False,common_stock
ACIC,American Coastal Insurance Corporation - Common Stock,NASDAQ,False,False,common_stock
ACIU,AC Immune SA - Common Stock,NASDAQ,False,False,common_stock
ACIW,"ACI Worldwide, Inc. - Common Stock",NASDAQ,False,False,common_stock
ACLS,"Axcelis Technologies, Inc. - Common Stock",NASDAQ,False,False,common_stock
ACM,AECOM Common Stock,NYSE,False,False,common_stock
ACMR,"ACM Research, Inc. - Class A Common Stock",NASDAQ,False,False,common_stock
ACN,Accenture plc Class A Ordinary Shares (Ireland),NYSE,False,False,common_stock
ACNB,ACNB Corporation - Common Stock,NASDAQ,False,False,common_stock
ACNT,Ascent Industries Co. - Common Stock,NASDAQ,False,False,common_stock
ACOG,Alpha Cognition Inc. - Common Stock,NASDAQ,False,False,common_stock
ACON,"Aclarion, Inc. - Common Stock",NASDAQ,False,False,common_stock
ACP,abrdn Income Credit Strategies Fund Common Shares,NYSE,False,False,common_stock
ACR,ACRES Commercial Realty Corp. Common Stock,NYSE,False,False,common_stock
ACRE,Ares Commercial Real Estate Corporation Common Stock,NYSE,False,False,common_stock
ACRS,"Aclaris Therapeutics, Inc. - Common Stock",NASDAQ,False,False,common_stock
ACRV,"Acrivon Therapeutics, Inc. - Common Stock",NASDAQ,False,False,common_stock
ACT,"Enact Holdings, Inc. - Common Stock",NASDAQ,False,False,common_stock
ACTG,Acacia Research Corporation - Common Stock,NASDAQ,False,False,common_stock
ACTU,"Actuate Therapeutics, Inc. - Common stock",NASDAQ,False,False,common_stock
ACV,Virtus Diversified Income & Convertible Fund Common Shares of Beneficial Interest,NYSE,False,False,common_stock
ACVA,ACV Auctions Inc. Class A Common Stock,NYSE,False,False,common_stock
ACXP,"Acurx Pharmaceuticals, Inc. - Common Stock",NASDAQ,False,False,common_stock
AD,"Array Digital Infrastructure, Inc. Common Shares",NYSE,False,False,common_stock
ADAC,American Drive Acquisition Company - Class A Ordinary Shares,NASDAQ,False,False,common_stock
ADAG,"Adagene Inc. - ADS, each representing 1.25 ordinary shares",NASDAQ,False,False,common_stock
ADAM,"Adamas Trust, Inc. - Common Stock",NASDAQ,False,False,common_stock
ADAMG,"Adamas Trust, Inc. - 9.125% Senior Notes Due 2030",NASDAQ,False,False,common_stock
ADAMH,"Adamas Trust, Inc. - 9.875% Senior Notes Due 2030",NASDAQ,False,False,common_stock
ADAMI,"Adamas Trust, Inc. - 9.125% Senior Notes Due 2029",NASDAQ,False,False,common_stock
ADAMO,"Adamas Trust, Inc. - 9.250% Senior Notes Due 2031",NASDAQ,False,False,common_stock
ADBE,Adobe Inc. - Common Stock,NASDAQ,False,False,common_stock
ADC,Agree Realty Corporation Common Stock,NYSE,False,False,common_stock
ADCT,ADC Therapeutics SA Common Shares,NYSE,False,False,common_stock
ADEA,Adeia Inc.  - Common Stock,NASDAQ,False,False,common_stock
ADGM,"Adagio Medical Holdings, Inc - Common Stock",NASDAQ,False,False,common_stock
ADI,"Analog Devices, Inc. - Common Stock",NASDAQ,False,False,common_stock
ADIL,"Adial Pharmaceuticals, Inc - Common Stock",NASDAQ,False,False,common_stock
ADM,Archer-Daniels-Midland Company Common Stock,NYSE,False,False,common_stock
ADMA,ADMA Biologics Inc - Common Stock,NASDAQ,False,False,common_stock
ADNT,Adient plc Ordinary Shares,NYSE,False,False,common_stock
ADP,"Automatic Data Processing, Inc. - Common Stock",NASDAQ,False,False,common_stock
ADPT,Adaptive Biotechnologies Corporation - Common Stock,NASDAQ,False,False,common_stock
ADSE,ADS-TEC ENERGY PLC - Ordinary Shares,NASDAQ,False,False,common_stock
ADSK,"Autodesk, Inc. - Common Stock",NASDAQ,False,False,common_stock
ADT,ADT Inc. Common Stock,NYSE,False,False,common_stock
ADTN,"ADTRAN Holdings, Inc. - Common Stock",NASDAQ,False,False,common_stock
ADUR,Aduro Clean Technologies Inc. - Common Stock,NASDAQ,False,False,common_stock
