symbol,name,sector,sic_code,sic_description
NVDA,Nvidia Corp,SEMICONDUCTORS & RELATED DEVICES,3674,SEMICONDUCTORS & RELATED DEVICES
MU,"Micron Technology, Inc.",SEMICONDUCTORS & RELATED DEVICES,3674,SEMICONDUCTORS & RELATED DEVICES
TSLA,"Tesla, Inc. Common Stock",MOTOR VEHICLES & PASSENGER CAR BODIES,3711,MOTOR VEHICLES & PASSENGER CAR BODIES
SNDK,Sandisk Corporation Common Stock,COMPUTER STORAGE DEVICES,3572,COMPUTER STORAGE DEVICES
AMD,Advanced Micro Devices,SEMICONDUCTORS & RELATED DEVICES,3674,SEMICONDUCTORS & RELATED DEVICES
INTC,Intel Corp,SEMICONDUCTORS & RELATED DEVICES,3674,SEMICONDUCTORS & RELATED DEVICES
MSFT,Microsoft Corp,SERVICES-PREPACKAGED SOFTWARE,7372,SERVICES-PREPACKAGED SOFTWARE
AAPL,Apple Inc.,ELECTRONIC COMPUTERS,3571,ELECTRONIC COMPUTERS
AMZN,Amazon.Com Inc,RETAIL-CATALOG & MAIL-ORDER HOUSES,5961,RETAIL-CATALOG & MAIL-ORDER HOUSES
GOOGL,Alphabet Inc. Class A Common Stock,"SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC.",7370,"SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC."
META,"Meta Platforms, Inc. Class A Common Stock","SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC.",7370,"SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC."
AVGO,Broadcom Inc. Common Stock,SEMICONDUCTORS & RELATED DEVICES,3674,SEMICONDUCTORS & RELATED DEVICES
GOOG,Alphabet Inc. Class C Capital Stock,"SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC.",7370,"SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC."
PLTR,Palantir Technologies Inc. Class A Common Stock,SERVICES-PREPACKAGED SOFTWARE,7372,SERVICES-PREPACKAGED SOFTWARE
LITE,Lumentum Holdings Inc. Common Stock,"COMMUNICATIONS EQUIPMENT, NEC",3669,"COMMUNICATIONS EQUIPMENT, NEC"
QCOM,Qualcomm Inc,RADIO & TV BROADCASTING & COMMUNICATIONS EQUIPMENT,3663,RADIO & TV BROADCASTING & COMMUNICATIONS EQUIPMENT
ORCL,Oracle Corp,SERVICES-PREPACKAGED SOFTWARE,7372,SERVICES-PREPACKAGED SOFTWARE
MRVL,"Marvell Technology, Inc. Common Stock",SEMICONDUCTORS & RELATED DEVICES,3674,SEMICONDUCTORS & RELATED DEVICES
WDC,Western Digital Corp.,COMPUTER STORAGE DEVICES,3572,COMPUTER STORAGE DEVICES
STX,Seagate Technology Holdings PLC Ordinary Shares (Ireland),COMPUTER STORAGE DEVICES,3572,COMPUTER STORAGE DEVICES
CRWV,"CoreWeave, Inc. Class A Common Stock",SERVICES-PREPACKAGED SOFTWARE,7372,SERVICES-PREPACKAGED SOFTWARE
LLY,Eli Lilly & Co.,PHARMACEUTICAL PREPARATIONS,2834,PHARMACEUTICAL PREPARATIONS
NFLX,NetFlix Inc,SERVICES-VIDEO TAPE RENTAL,7841,SERVICES-VIDEO TAPE RENTAL
NBIS,Nebius Group N.V. Class A Ordinary Shares,stocks,,
UNH,UNITEDHEALTH GROUP INCORPORATED (Delaware),HOSPITAL & MEDICAL SERVICE PLANS,6324,HOSPITAL & MEDICAL SERVICE PLANS
AMAT,Applied Materials Inc,SEMICONDUCTORS & RELATED DEVICES,3674,SEMICONDUCTORS & RELATED DEVICES
MSTR,Strategy Inc Common Stock Class A,FINANCE SERVICES,6199,FINANCE SERVICES
GEV,GE Vernova Inc.,ELECTRONIC & OTHER ELECTRICAL EQUIPMENT (NO COMPUTER EQUIP),3600,ELECTRONIC & OTHER ELECTRICAL EQUIPMENT (NO COMPUTER EQUIP)
IREN,IREN Limited Ordinary Shares,FINANCE SERVICES,6199,FINANCE SERVICES
BE,Bloom Energy Corporation,ELECTRICAL INDUSTRIAL APPARATUS,3620,ELECTRICAL INDUSTRIAL APPARATUS
NOW,"SERVICENOW, INC.",SERVICES-PREPACKAGED SOFTWARE,7372,SERVICES-PREPACKAGED SOFTWARE
RKLB,Rocket Lab Corporation Common Stock,GUIDED MISSILES & SPACE VEHICLES & PARTS,3760,GUIDED MISSILES & SPACE VEHICLES & PARTS
